,,Lowes.com,,,,,,,,,,,,,,,,
,MODEL MATCH,BRAND,MODEL NUMBER,MSRP,MAP,MODEL CHECKED,MSRP CHECK,PRICE CHECK,NET PRICE CHECK,AVAILABLE CHECK,NEXT AVAILABLE CHECK,ETA CHECK,Collected @,Status,MSRP Difference,,Status,Mean
,FALSE,GE APPLIANCES,JB655SKSS,"$1,049.00","$1,049.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB655FKDS,"$1,049.00","$1,049.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB655DTWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB655DKWW,$999.00,$999.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB655DKBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB650SFSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB650DTWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB650DTBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB650DNBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB650DFBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB645STSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB645FKDS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB645EKES,"$1,049.00","$1,049.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB645DTWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB645DTBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB645DKBB,$849.00,$849.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB640SFSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB640MRBS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB640MPBS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB640DRCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,JB640DRBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,J2B918BEKBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTW180SCJWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTV21GSSJWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18HSNRSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18HMNRES,$949.00,$949.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18HCRCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18HBRCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GTNRWW,$849.00,$849.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GTNRBB,$849.00,$849.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GTHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GTHBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GSHSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GCSWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GCSBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GCRWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GCRCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GBSWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GBSCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTS18GBSBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTL12HBDBS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTK21GBEBS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTK18ICXBS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTK18ICDBS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTE18ITHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTDS570GDWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GTD33GASKWW,$799.00,$799.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GSS25GFXBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GSS25ETHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GSS23KGSWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GSH25GGCBB,,,,,,,,,,,Something went wrong,,,,
